landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count
landslide,rain,small,above_road,0
mudslide,snowfall_snowmelt,large,natural_slope,0
landslide,continuous_rain,small,below_road,0
landslide,other,medium,urban,0
landslide,rain,small,above_road,0
landslide,rain,medium,above_road,0
landslide,unknown,small,above_road,0
landslide,continuous_rain,medium,above_road,1
landslide,downpour,medium,above_road,0
landslide,unknown,medium,above_road,0
landslide,rain,small,above_road,0
landslide,other,small,unknown,1
landslide,rain,large,natural_slope,1
landslide,mining,medium,mine,1
rock_fall,unknown,small,above_road,0
rock_fall,rain,small,above_road,0
landslide,rain,small,above_road,0
landslide,unknown,medium,urban,1
mudslide,rain,medium,urban,0
rock_fall,unknown,medium,above_road,0
landslide,rain,medium,above_road,0
rock_fall,unknown,small,above_road,0
landslide,rain,small,above_road,0
landslide,continuous_rain,medium,above_road,0
landslide,rain,medium,natural_slope,1
mudslide,rain,small,above_road,0
landslide,unknown,small,above_road,0
landslide,continuous_rain,medium,natural_slope,1
mudslide,rain,medium,natural_slope,0
landslide,rain,small,natural_slope,1
landslide,flooding,large,natural_slope,0
rock_fall,unknown,small,above_road,0
landslide,rain,medium,above_road,0
landslide,downpour,small,above_road,0
landslide,rain,medium,above_road,1
landslide,rain,small,above_road,0
landslide,unknown,small,above_road,0
landslide,unknown,small,natural_slope,0
landslide,rain,medium,urban,1
landslide,rain,small,natural_slope,0
landslide,downpour,small,natural_slope,0
mudslide,leaking_pipe,small,above_road,0
landslide,flooding,small,above_road,0
landslide,rain,very_large,above_road,0
landslide,unknown,unknown,above_road,0
landslide,downpour,large,natural_slope,1
mudslide,rain,large,urban,0
landslide,downpour,small,above_road,0
mudslide,rain,small,above_road,0
rock_fall,rain,small,above_road,0
rock_fall,rain,small,above_river,0
rock_fall,rain,medium,above_road,0
landslide,rain,small,above_road,0
landslide,monsoon,medium,above_road,0
landslide,downpour,small,above_river,0
mudslide,flooding,small,above_river,0
landslide,downpour,medium,above_river,0
landslide,flooding,medium,above_river,0
landslide,continuous_rain,small,above_road,0
landslide,rain,medium,urban,1
landslide,unknown,small,natural_slope,1
landslide,rain,small,urban,1
landslide,unknown,unknown,above_road,0
landslide,unknown,large,above_road,0
landslide,downpour,medium,natural_slope,1
landslide,downpour,large,natural_slope,1
landslide,unknown,medium,natural_slope,0
landslide,continuous_rain,medium,above_road,0
landslide,tropical_cyclone,small,above_road,0
landslide,unknown,small,above_road,0
riverbank_collapse,unknown,medium,above_river,0
landslide,rain,small,above_river,0
landslide,rain,medium,above_road,1
landslide,mining,medium,above_road,0
landslide,unknown,unknown,above_road,0
landslide,rain,small,natural_slope,0
rock_fall,unknown,small,above_road,0
landslide,rain,small,above_road,0
mudslide,rain,large,above_road,0
landslide,rain,medium,natural_slope,0
rock_fall,unknown,small,natural_slope,0
landslide,rain,small,above_road,0
landslide,rain,small,urban,0
landslide,rain,large,other,1
landslide,continuous_rain,medium,urban,0
landslide,rain,large,urban,1
landslide,earthquake,medium,natural_slope,0
landslide,downpour,large,above_road,0
landslide,unknown,medium,above_road,0
rock_fall,unknown,small,above_road,0
landslide,unknown,medium,below_road,0
landslide,flooding,small,above_coast,0
landslide,tropical_cyclone,medium,natural_slope,1
landslide,continuous_rain,medium,above_road,0
landslide,rain,medium,urban,1
landslide,construction,medium,urban,1
landslide,unknown,large,above_road,1
riverbank_collapse,construction,medium,above_river,1
landslide,mining,medium,above_road,0
rock_fall,unknown,small,above_road,0
landslide,continuous_rain,medium,above_road,0
landslide,rain,small,above_road,0
mudslide,continuous_rain,medium,natural_slope,0
mudslide,downpour,small,natural_slope,0
rock_fall,unknown,small,above_road,0
landslide,rain,medium,unknown,0
landslide,snowfall_snowmelt,small,above_road,0
landslide,rain,medium,urban,1
landslide,freeze_thaw,catastrophic,above_coast,1
landslide,downpour,large,natural_slope,1
landslide,downpour,small,above_road,0
mudslide,rain,small,above_road,0
riverbank_collapse,downpour,small,above_river,0
landslide,continuous_rain,medium,above_road,0
mudslide,continuous_rain,small,unknown,0
debris_flow,snowfall_snowmelt,large,natural_slope,0
landslide,rain,medium,above_road,0
landslide,continuous_rain,small,above_road,0
landslide,unknown,small,below_road,0
rock_fall,rain,medium,natural_slope,0
riverbank_collapse,unknown,small,above_river,0
mudslide,rain,small,above_road,0
mudslide,downpour,large,natural_slope,0
landslide,continuous_rain,small,above_road,0
landslide,rain,small,retaining_wall,0
landslide,continuous_rain,medium,urban,1
landslide,leaking_pipe,small,above_road,0
landslide,downpour,medium,engineered_slope,1
landslide,earthquake,small,natural_slope,0
landslide,rain,small,below_road,0
landslide,rain,small,above_road,0
landslide,continuous_rain,medium,above_road,0
landslide,rain,medium,above_road,0
mudslide,rain,medium,natural_slope,1
landslide,freeze_thaw,small,engineered_slope,0
landslide,rain,very_large,natural_slope,0
landslide,rain,small,above_road,0
landslide,rain,medium,natural_slope,1
landslide,rain,medium,natural_slope,0
landslide,rain,small,above_road,0
landslide,rain,small,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,medium,natural_slope,1
landslide,rain,small,urban,0
landslide,downpour,small,urban,0
landslide,downpour,small,natural_slope,0
mudslide,rain,medium,above_road,1
landslide,downpour,small,above_road,0
